Word,Synonym
dhṛtarāṣṭraḥuvāca,King Dhṛtarāṣṭra said
dharma-kṣetre,in the place of pilgrimage
kuru-kṣetre,in the place named Kurukṣetra
samavetāḥ,assembled
yuyutsavaḥ,desiring to fight
māmakāḥ,my party (sons)
pāṇḍavāḥ,the sons of Pāṇḍu
ca,and
eva,certainly
kim,what
akurvata,did they do
sañjaya,O Sañjaya.
sañjayaḥuvāca,Sañjaya said
dṛṣṭvā,after seeing
tu,but
pāṇḍava-anīkam,the soldiers of the Pāṇḍavas
vyūḍham,arranged in a military phalanx
duryodhanaḥ,King Duryodhana
tadā,at that time
ācāryam,the teacher
upasaṅgamya,approaching
rājā,the king
vacanam,words
abravīt,spoke.
paśya,behold
etām,this
pāṇḍu-putrānām,of the sons of Pāṇḍu
ācārya,O teacher
mahatīm,great
camūm,military force
vyūḍhām,arranged
drupada-putreṇa,by the son of Drupada
tava,your
śiṣyeṇa,disciple
dhī-matā,very intelligent.
atra,here
śūrāḥ,heroes
mahā-iṣu-āsāḥ,mighty bowmen
bhīma-arjuna,to Bhīma and Arjuna
samāḥ,equal
yudhi,in the fight
yuyudhānaḥ,Yuyudhāna
virāṭaḥ,Virāṭa
ca,also
drupadaḥ,Drupada
ca,also
mahā-rathaḥ,great fighter.
dhṛṣṭaketuḥ,Dhṛṣṭaketu
cekitānaḥ,Cekitāna
kāśirājaḥ,Kāśirāja
ca,also
vīrya-vān,very powerful
purujit,Purujit
kuntibhojaḥ,Kuntibhoja
ca,and
śaibyaḥ,Śaibya
ca,and
nara-puṅgavaḥ,hero in human society.
yudhāmanyuḥ,Yudhāmanyu
ca,and
vikrāntaḥ,mighty
uttamaujāḥ,Uttamaujā
ca,and
vīrya-vān,very powerful
saubhadraḥ,the son of Subhadrā
draupadeyāḥ,the sons of Draupadī
ca,and
sarve,all
eva,certainly
mahā-rathāḥ,great chariot fighters.
asmākam,our
tu,but
viśiṣṭāḥ,especially powerful
ye,who
tān,them
nibodha,"just take note of, be informed"
dvija-uttama,O best of thebrāhmaṇas
nāyakāḥ,captains
mama,my
sainyasya,of the soldiers
saṁjñā-artham,for information
tān,them
bravīmi,I am speaking
te,to you.
bhavān,your good self
bhīṣmaḥ,Grandfather Bhīṣma
ca,also
karṇaḥ,Karṇa
ca,and
kṛpaḥ,Kṛpa
ca,and
samitim-jayaḥ,always victorious in battle
aśvatthāmā,Aśvatthāmā
vikarṇaḥ,Vikarṇa
ca,as well as
saumadattiḥ,the son of Somadatta
tathā,as well as
eva,certainly
ca,also.
anye,others
ca,also
bahavaḥ,in great numbers
śūrāḥ,heroes
mat-arthe,for my sake
tyakta-jīvitāḥ,prepared to risk life
nānā,many
śastra,weapons
praharaṇāḥ,equipped with
sarve,all of them
yuddha-viśāradāḥ,experienced in military science.
aparyāptam,immeasurable
tat,that
asmākam,of ours
balam,strength
bhīṣma,by Grandfather Bhīṣma
abhirakṣitam,perfectly protected
paryāptam,limited
tu,but
idam,all this
eteṣām,of the Pāṇḍavas
balam,strength
bhīma,by Bhīma
abhirakṣitam,carefully protected.
ayaneṣu,in the strategic points
ca,also
sarveṣu,everywhere
yathā-bhāgam,as differently arranged
avasthitāḥ,situated
bhīṣmam,unto Grandfather Bhīṣma
eva,certainly
abhirakṣantu,should give support
bhavantaḥ,you
sarve,all respectively
evahi,certainly.
tasya,his
sañjanayan,increasing
harṣam,cheerfulness
kuru-vṛddhaḥ,the grandsire of the Kuru dynasty (Bhīṣma)
pitāmahaḥ,the grandfather
siṁha-nādam,"roaring sound, like that of a lion"
vinadya,vibrating
uccaiḥ,very loudly
śaṅkham,conchshell
dadhmau,blew
pratāpa-vān,the valiant.
tataḥ,thereafter
śaṅkhāḥ,conchshells
ca,also
bheryaḥ,large drums
ca,and
paṇava-ānaka,small drums and kettledrums
go-mukhāḥ,horns
sahasā,all of a sudden
eva,certainly
abhyahanyanta,were simultaneously sounded
saḥ,that
śabdaḥ,combined sound
tumulaḥ,tumultuous
abhavat,became.
tataḥ,thereafter
śvetaiḥ,with white
