Word,Synonym
om,O my Lord
namaḥ,offering my obeisances
bhagavate,unto the Personality of Godhead
vāsudevāya,"unto Vāsudeva (the son of Vasudeva), or Lord Śrī Kṛṣṇa, the primeval Lord"
janma-ādi,"creation, sustenance and destruction"
asya,of the manifested universes
yataḥ,from whom
anvayāt,directly
itarataḥ,indirectly
ca,and
artheṣu,purposes
abhijñaḥ,fully cognizant
sva-rāṭ,fully independent
tene,imparted
brahma,the Vedic knowledge
hṛdā,consciousness of the heart
yaḥ,one who
ādi-kavaye,unto the original created being
muhyanti,are illusioned
yat,about whom
sūrayaḥ,great sages and demigods
tejaḥ,fire
vāri,water
mṛdām,earth
yathā,as much as
vinimayaḥ,action and reaction
yatra,whereupon
tri-sargaḥ,"three modes of creation, creative faculties"
amṛṣā,almost factual
dhāmnā,along with all transcendental paraphernalia
svena,self-sufficiently
sadā,always
nirasta,negation by absence
kuhakam,illusion
satyam,truth
param,absolute
dhīmahi,I do meditate upon.
dharmaḥ,religiosity
projjhita,completely rejected
kaitavaḥ,covered by fruitive intention
atra,herein
paramaḥ,the highest
nirmatsarāṇām,of the one-hundred-percent pure in heart
satām,devotees
vedyam,understandable
vāstavam,factual
atra,herein
vastu,substance
śivadam,well-being
tāpa-traya,threefold miseries
unmūlanam,causing uprooting of
śrīmat,beautiful
bhāgavate,theBhāgavata Purāṇa
mahā-muni,the great sage (Vyāsadeva)
kṛte,having compiled
kim,what is
vā,the need
paraiḥ,others
īśvaraḥ,the Supreme Lord
sadyaḥ,at once
hṛdi,within the heart
avarudhyate,becomes compact
atra,herein
kṛtibhiḥ,by the pious men
śuśrūṣubhiḥ,by culture
tat-kṣaṇāt,without delay.
nigama,the Vedic literatures
kalpa-taroḥ,the desire tree
galitam,fully matured
phalam,fruit
śuka,"Śrīla Śukadeva Gosvāmī, the original speaker ofŚrīmad-Bhāgavatam"
mukhāt,from the lips of
amṛta,nectar
drava,semisolid and soft and therefore easily swallowable
saṁyutam,perfect in all respects
pibata,do relish it
bhāgavatam,the book dealing in the science of the eternal relation with the Lord
rasam,juice (that which is relishable)
ālayam,"until liberation, or even in a liberated condition"
muhuḥ,always
aho,O
rasikāḥ,those who are full in the knowledge of mellows
bhuvi,on the earth
bhāvukāḥ,expert and thoughtful.
naimiṣe,in the forest known as Naimiṣāraṇya
animiṣa-kṣetre,the spot which is especially a favorite of Viṣṇu (who does not close His eyelids)
ṛṣayaḥ,sages
śaunaka-ādayaḥ,headed by the sage Śaunaka
satram,sacrifice
svargāya,the Lord who is glorified in heaven
lokāya,and for the devotees who are always in touch with the Lord
sahasra,one thousand
samam,years
āsata,performed.
te,the sages
ekadā,one day
tu,but
munayaḥ,sages
prātaḥ,morning
huta,burning
huta-agnayaḥ,the sacrificial fire
sat-kṛtam,due respects
sūtam,Śrī Sūta Gosvāmī
āsīnam,seated on
papracchuḥ,made inquiries
idam,on this (as follows)
ādarāt,with due regards.
ṛṣayaḥ,the sages
ūcuḥ,said
tvayā,by you
khalu,undoubtedly
purāṇāni,the supplements to theVedaswith illustrative narrations
sa-itihāsāni,along with the histories
ca,and
anagha,freed from all vices
ākhyātāni,explained
api,although
adhītāni,well read
dharma-śāstrāṇi,scriptures giving right directions to progressive life
yāni,all these
uta,said.
yāni,all that
veda-vidām,scholars of theVedas
śreṣṭhaḥ,seniormost
bhagavān,incarnation of Godhead
bādarāyaṇaḥ,Vyāsadeva
anye,others
ca,and
munayaḥ,the sages
sūta,O Sūta Gosvāmī
parāvara-vidaḥ,"amongst the learned scholars, one who is conversant with physical and metaphysical knowledge"
viduḥ,one who knows.
vettha,you are well conversant
