Question Speaker,Question Text,Answer Speaker,Answer Text
TamālaKṛṣṇa,I think more are coming from Calcutta. Śyāmasundara called me.,Prabhupāda," At least fourkholsyou want to have. Fourkholsand sixteen men, that is party. Yes. And one leading singer and one dancer. That makes complete party. Twenty, twenty-two men. So where is Śyāmasundara?"
Devotee,I didn't find him.,Prabhupāda, Huh?
Devotee,I didn't find him anywhere.,Prabhupāda, He is not here?Huh? Resting? (background discussion among devotees) He went to bed very late last night?
Devotee (2),(indistinct),Prabhupāda, Hm.
Devotee (2),He was trying to finish the Māyāpur thing.,Prabhupāda," Oh, oh, that's all right. Let him remain. So you can speak some discussion from our books? You can see he is very great speaker,Viṣalaprabhu."
Viṣala,Me?,Prabhupāda, Yes.
Viṣala,I cannot speak. (laughter),Prabhupāda, Yes.
Viṣala; TamālaKṛṣṇa,"I've been reading theBrahma-saṁhitā, and uh, by His Divine Grace Śrīla BhaktisiddhāntaSarasvatī, and he mentions that to receive the mercy of..., Kṛṣṇa's mercy, one has to be free of all mundane desires, and also he has to receive the grace of God at the same time. So it's all, it's like the son, he mentions. He doesn't know how wealthy his father is, but by the grace of his father, he says, ""My dear son, I have a lot of money and I..., you will be in my will, and you will have this all and I will give you all these instructions.'' So similarly, by finally gradually becoming free of all mundane desires and completely being influenced by thecitpotency, by the superior cognitive energy of LordKṛṣṇa, one will receive the mercy ofRādhāandKṛṣṇa. But the most important thing is to receive the mercy of the spiritual master, because only by the guru's mercy can one be blessed by God. So that means we have... [break]; He's been reading yourŚrīmad-Bhāgavatamevery morning, Śrīla Prabhupāda.",Prabhupāda, Yes.Huh?
TamālaKṛṣṇa,"We've been reading Śrīla...,Śrīmad-Bhāgavatam.",Prabhupāda," Yes, read."
TamālaKṛṣṇa,Should I get a copy of that?,Prabhupāda, Yes. So here is microphone. You did not know? Śrīmatī has brought two microphones.
TamālaKṛṣṇa,"Oh, yours?",Prabhupāda," Yes, just see."
Devotee (2),There's tapes also.,Prabhupāda, Huh?
Devotee (2),Some tapes.,Prabhupāda," Oh, that's nice. Yes. Whenever somebody comes from there, something must be brought, because these things are not available. [break] ...Indian, you cannot excel in mechanical knowledge the Europeans, American. That is not possible. We will always remain hundred years back. Everyone has got some special talent given by God. We should cooperate. That's it. The hand can work in this way. We cannot walk with hands. That is the business of the hand. Similarly, I cannot cut the papers with leg. So all living entities are endowed with special... We should cooperate. The hand and leg should cooperate for maintaining the whole body. Similarly, everyone should use his talent for satisfaction ofKṛṣṇa. That is perfection. Not compete with one another. That is mistake."
Devotee (2),(unwrapping package) It's not the microphone.,Prabhupāda, Huh?
Devotee (2),I don't think it's the microphone. [break],Prabhupāda, They never reply.
Devotee (2),"It's such a big company, they...",Prabhupāda," I do not know what kind of big company, and their publication we do not get in India. Why? (indistinct) We cannot get in Macmillan Company. Sometimes somebody inquires, the reply, ""They..., we have not published this book, this, here.'' They have no information."
Devotee (1),"We can show that one copy of that letter, and what can they do to us?",Prabhupāda, Huh?
Devotee (1),"If they try to stop us from printing, we can show them the copy of that letter that says they do not publish, and then what can they do? We have a copy of...",Prabhupāda," I think we can publish all books here, because the agreement is made inUSA. They have nothing to do within India. Indian law is different."
Śyāmasundara,"I think it's a world copyright, or else we could publish inJapanalso.",Prabhupāda, Huh?
Śyāmasundara,"I think this is a world copyright, or else we would be able to publish inJapan, in...",Prabhupāda, SoJapanis out of world?
Śyāmasundara,It's out of U.S.,Prabhupāda, Huh?
Śyāmasundara,It's out of the U.S.A.,Prabhupāda, Yes.
Śyāmasundara,Like India.,Prabhupāda, Yes.
Śyāmasundara,I think their copyright...,Prabhupāda," No, no, no."
Śyāmasundara,...is binding around the world.,Prabhupāda," If they want to publish, let them publish."
Śyāmasundara,Yes.,Prabhupāda," That I offered them, that ""We are going to publish."" So there was no reply."
Śyāmasundara,Oh.,Prabhupāda, They did not comment and...
Śyāmasundara,You already offered.,Prabhupāda, Yes.
TamālaKṛṣṇa,Prabhupāda?,Prabhupāda, Hum?
TamālaKṛṣṇa,Should we go chant our rounds now?,Prabhupāda," Yes. [break] But one thing is that all right, he can go as my relative, because as visitor if he goes, then he cannot be admitted in school."
Guest,That's right.,Prabhupāda, But if he goes as my unmarried grandson...
Guest,Yes.,Prabhupāda, Then he can get. So that will be done. (Hindi) So your sons are very good sons. I have got all blessings for them. (Hindi)
Guest,"(Hindi) You have so many grandsons, but I am the one erratic son, bad son.",Prabhupāda, (laughs) What is that problem?
