Question Speaker,Question Text,Answer Speaker,Answer Text
ŚrīdharaMahārāja,Three in America.,Prabhupāda, Three in America.
ŚrīdharaMahārāja,"Another three, Another...?",Prabhupāda, Another three in Europe.
ŚrīdharaMahārāja,Three in Europe. Six.,Prabhupāda, One in India.
ŚrīdharaMahārāja,"India, one.",Prabhupāda, Yes. (Aside) (Bengali) Why you are keeping there?
ŚrīdharaMahārāja,"India, one. Seven.",Prabhupāda," Seven. And Africa, one."
ŚrīdharaMahārāja,One.,Prabhupāda, Eight.
ŚrīdharaMahārāja,That will be at. (eight),Prabhupāda," And one, Australia."
ŚrīdharaMahārāja,Australia.,Prabhupāda, New Zealand.
ŚrīdharaMahārāja,"Nine, New Zealandektā.(one)",Prabhupāda, And one...
Bhavānanda,Canada.,Prabhupāda, Canada.
Devotee; Bhavānanda,"Africa and South America.; Ah, yes, South America.",Prabhupāda, South America. What part?
ŚrīdharaMahārāja; Bhavānanda,"South America. South America,konjaegaeta(?); Australia and Southeast Asia also.",Prabhupāda, Argentina.
ŚrīdharaMahārāja; Devotee,Argentina.; AndJapan.Japan.,Prabhupāda, Japanincludes now...
Devotee,Western United States.,Prabhupāda, Western.
Bhavānanda,Western United States?,Prabhupāda, Yes. Including Hawaii andJapan.Japanelokera...
ŚrīdharaMahārāja,(indistinct),Prabhupāda," Russiate, there is bigloka.I have got a student there. They are very much strict about religious things. When I went to Moscow..."
ŚrīdharaMahārāja,"Well, reaction will come.",Prabhupāda, Reaction already come. They do not...
ŚrīdharaMahārāja,"Sure to come... Reaction, reaction.",Prabhupāda," So they found one of myBhagavad-gītāin the immigration. So immediately he called police. (laughs) Then he, he examined. He allowed, ""All right, it is all right. It is such a rubbish."" But they are not very happy country, as they advertise."
ŚrīdharaMahārāja,What is happiness? God is happiness.,Prabhupāda," Now, apart from materially, they're poor."
ŚrīdharaMahārāja,Janma-mṛtyu-jarā-vyādhi-duḥkha...,Prabhupāda, This is...
ŚrīdharaMahārāja,...anudarśanam.So they are poor in intelligence. This is sattvic intelligence.Janma-mṛtyu-jarā-vyādhi-duḥkha-doṣānudarśanam [Bg.13.9].,Prabhupāda, Anudarśanam.
ŚrīdharaMahārāja,Divide up higher kind of intelligence.,Prabhupāda, The Russian professor...
ŚrīdharaMahārāja,And the scientific fineness that is also in the jurisdiction of matter. But a more subtle and subtler knowledge is possible.,Prabhupāda," Now we are presenting through two of my scientific students, Doctor of Chemistry, that matter is, the source of matter is spirit. This is our theory. Generally they believe the life, life comes from matter..."
ŚrīdharaMahārāja,Life comes from matter.,Prabhupāda," Matter. But we, we are presenting, ""No, matter comes from life."""
ŚrīdharaMahārāja,Apparently. This is not appropriate. This isVedānta.Vedānta...,Prabhupāda, Janmādyasyayataḥ.
ŚrīdharaMahārāja,I said that just examine the healthy body. This material world is an excema expect(?) in the healthy body.,Prabhupāda," Yes. Material, material atmosphere means diseased condition."
ŚrīdharaMahārāja,"Diseased condition, very negligent or diseased condition, very negligent part, forming very negligent part of the whole, this material world, where creation and dissolution is compulsory.",Prabhupāda, Bhūtvābhūtvāpralīyate[Bg.8.19].
ŚrīdharaMahārāja,Creation and the dissolution is compulsory. That is a negligent portion of the real universe.,Prabhupāda, ekāṁśena.
