Question Speaker,Question Text,Answer Speaker,Answer Text
Guest,"Yet no two are the same, are they?",Prabhupāda, Eh.
Guest,They are not the same.,Prabhupāda," Yes. Varieties. Everything is variety. Everything is variety, full of varieties. We find the same species ofrose. Still, you'll find varieties. In human, twin brothers you will find still varieties."
Guest,"And inGolokaVṛndāvana, are there still varieties? Are there still varieties inVṛndāvana?",Prabhupāda, Vṛndāvana?
Śrutakīrti,"GolokaVṛndāvana, are there still varieties he said.",Prabhupāda," Oh yes. There are varieties.Ānanda,ānanda,pleasure means varieties. Variety is the mother of enjoyment. Without varieties, just like we prepare from grains, sugar, ghee, hundreds of varieties. If you simply give grain, ghee and sugar, it will not be enjoyable. But the same thing, you prepare in varieties and give you a plate, oh, you'll say, ""Oh, so nice thing."" The ingredients are the same. Grains, ghee and sugar, that's all. Similarly, this material world, the ingredients are the same. Namely five gross elements and three subtle elements, finer. Earth, water, air, fire, sky. These are gross elements. And mind, intelligence, ego these are finer elements. Combined together this material world has come. The brain behind is a living entity. Just like we are using these ingredients, these five elements: earth, water, air, fire, sky, making this building, making this table, making this chair,vase, so many things, harmonium, pictures, book. So the ingredients are the same, but my brain is working in different varieties. My brain or your brain. Human brain. Similarly this material cosmic manifestation is full of varieties. The brain behind it isKṛṣṇa. That is stated, you have read ourBhagavad-gītā?"
Guest,I've taken a look.,Prabhupāda, There is a verse. Find out:
Guest,"Is modern science materialism, Prabhupāda? Is it materialism?",Prabhupāda, Yes.
Guest,"All, all materialism?",Prabhupāda," Just dealing with earth, water, air, fire, sky. That's all."
Guest,"And in this time, modern science, you know, physics, chemistry, mathematics; is this all materialism?",Prabhupāda, All materialism.
Guest,All materialism.,Prabhupāda, They do not know what is spiritual.
Guest,"And inside these people doing this work, is itKṛṣṇa? Or what is it makes them do the work?",Prabhupāda," No. The soul is a living being. So nature is supplying material and he's molding in different forms. Just like earth is not man's creation. Earth is God's creation, or it is product of God's energy. But we are using this earth and molding in different forms, different pots, different dolls. So ingredients are supplied by God. Nature means God's energy. We simply handle them. We cannot produce anything, we transform only. Just like this iron, we cannot produce iron. It is gotten from the mine, iron bar. Now we have transformed into different forms. Because we have got creative energy like God, not very great, in very minute quantity. So as God has created by His intelligence, the whole universe—we are creating this table, this pillow, this harmonium—that's all. What you are finding?"
Śrutakīrti,I was just looking at that verse again.,Prabhupāda, Which verse?
Śrutakīrti,Mayādhyakṣeṇa...,Prabhupāda, Oh.
Guest,Because one man says one thing and one man says another thing. So many people have different things to say.,Prabhupāda," No, personally. Suppose I ask you. What is your, you want to ask me?"
Haṁsadūta,"You have, that letter has a return address from Maṇḍalībhadra?",Prabhupāda," Yes, it is here. Now the water... Just like from your body, water is produced, is it not?"
Guest,Transformed?,Prabhupāda," Transformed or whatever, but you see urine is coming, perspiration is coming. So these different waters are produced by your energy within the body. So why not from God's energy the vast water?"
Guest,"Yes, truly.",Prabhupāda, Yes.
Guest,But why should he give us...,Prabhupāda," Because God is unlimited, He has got unlimited energy. have got limited energy. I can pass urine, say one pound, I can have perspiration say, one ounce but if God likes He can produce unlimited water. Why this one Atlantic Ocean? Many millions of Atlantic Oceans He can produce. Water produced from His body. So where is the difficulty to understand? WhenKṛṣṇasays that the elements... Other matters are growing. Just like the hair. Now, today, I have shaved. Three days after, again it will grow. So I have got my energy within by which I'm constantly growing. But, hair is a material thing. So anything you take, it grows from the Supreme. It is very easy to understand."
Guest,"Hmm. And ah, this inside, it grows because ofKṛṣṇadoes it?",Prabhupāda," Everything is growing on account ofKṛṣṇa. Your body, inside or outside, it is made of these five elements: earth, water, air, fire, like that. It is nothing but combination of these five elements."
Guest,Is the water inside the same as the water in the ocean?,Prabhupāda, Yes.
Guest,It's the same water.,Prabhupāda, Yes. You... Have you tasted ever perspiration?
Guest,Hmm?,Prabhupāda," Perspiration, have you tasted?"
Guest,"Tasted it, yes, salt.",Prabhupāda," Salt, yes."
Guest,"Ocean, yes.",Prabhupāda, It has got.
Guest,But one ocean is not the same as another eh? My business is mathematics. It's not very transcendental.,Prabhupāda, You are teacher?
Guest; Śrutakīrti,"No, not anymore. It's not very transcendental.; He's asking if his business is transcendental.",Prabhupāda," No, if it is used forKṛṣṇa, then it is transcendental. If it is used for your sense gratification, then it is material. That is the difference."
Guest,Yes. And how do you know whether you're using it forKṛṣṇaor not?,Prabhupāda," Yes. That requires training from the Kṛṣṇa's representative,guru. Just like these boys are being trained up inKṛṣṇaconsciousness. So it requires little training. Just like you are mathematician. To make another student mathematician, you have to train him. You have to teach him how to calculate two plus two equal to four. It will never be five. If somebody says, ""No, my calculation is two plus two equal to five."" Will it be accepted?"
Guest,I'm afraid sometimes it can be true. (laughs),Prabhupāda, How it can be true?
Guest,One plus one can equal three.,Prabhupāda, Huh?
Guest,One plus one can equal three sometimes.,Prabhupāda, Is there mathematical calculation?
Guest,"I know that it's ah... I mean things reproduce. Life is not so fixed, not so rigid. But one does have to be trained, it's true. Training is, some people can understand and some people cannot understand.",Prabhupāda, That is difference of understanding.
Guest,Yes.,Prabhupāda," The fact is true. But if I cannot understand, that is my misfortune."
Guest,"Yes. And if I can't understand what this is the end of the... So yes, it's the same. I think this is right.",Prabhupāda," God is fact. But if somebody cannot understand, it is his misfortune."
Guest,"Yes. And another time, another place.",Prabhupāda, Yes.
Guest,"As you say, there are many oceans. The Christians say, ""In my father's house are many mansions."" A Chair. (indistinct) Good enough?",Prabhupāda," No, you can sit down."
Guest,"This has come a long way from the Barrier Reef, the Pacific. These shells. The shells.",Prabhupāda, Oh yes.
Guest,"From the Pacific. From the Barrier Reef, Australia. You know the Barrier Reef?",Prabhupāda, Yes.
Guest,"Yes, that's where they come from, the Barrier Reef.",Prabhupāda, I have seen the reef.
Guest,You have?,Prabhupāda, In Australia.
Guest,"Oh, yes. I would like to see that. The sea is wonderful, isn't it? You like the sea they tell me.",Prabhupāda," Oh yes. Very green, clear."
Guest,Always a different color though. Always a little different isn't it?,Prabhupāda," Well, reef I have seen. It is about, not less than two hundred feet."
Guest,"Really? They say under the water is beautiful, the light, and the color.",Prabhupāda, They go under the water?
Guest,"They go, yes, under the water, in skin-diving. The coral, coral? Grows coral doesn't it? They say it's all, very beautiful.Jaya.Well, thank you, Prabhupāda,jaya.",Prabhupāda, HareKṛṣṇa. Give himprasāda.Thank you.
Śrutakīrti,Take a little sweet.,Prabhupāda, What is your name?
Guest,Peter.,Prabhupāda," Peter, oh yes."
Guest,Thank you very much.,Prabhupāda, Jaya.(end)
Guest (1) (Indian man); Prabhupāda.; Guest (1),"...Yes, yes. I ask him why, after such a long lapse of time we could see this trait ofHindudharma.; Yes. NotHindudharma.; Or Vedicdharma.",Prabhupāda," ...but spiritual, satisfaction of spiritual starvation. Because we are spiritual beings. That I was trying to explain. That we have bodily necessities, at the same time we have spiritual necessities. This Western civilization, they are simply after the bodily necessities. Just like here is a qualified medical man. He's made... What for, medical man? He knows how to satisfy the medical necessities of the body. He has no information of the spirit soul. Is it not a fact? Have you got any idea what is spirit soul?"
Guest (2) (Indian Doctor),"Not from the medical knowledge, certainly not.",Prabhupāda," Therefore I say that these universities, educational institution, all over the world, they are simply concerned with this body. According to our Vedic culture, to remain satisfied with the bodily necessities of life is the business of animals.Saevago-kharaḥ[SB10.84.13]."
Guest (1),"What is God to a layman, like me.",Prabhupāda," Layman, well, layman means, we already explained, he's no better than animal. Because layman means one who thinks that ""I am this body."" He's layman. He has no other information. So layman is equal to animal. So layman's education, layman's advancement is decoration of the dead body. If you decorate a dead body, you can feel satisfaction. But others will laugh, that ""What a fool he is, he's decorating a dead body?""Bhagavad-bhakti-hīnasyajātiḥśāstraṁjapastapaḥ, aprāṇasyevadehasyamaṇḍanaṁloka-rañjanam.Layman's business is decorating this dead body, that's all."
Guest (1),"Yeah, but if you were to explain to him what is God, how would you explain to him.",Prabhupāda," Then, suppose, what you are? What is your business? What do you do? You're teacher, what is the subject matter?"
Guest (1),I teach in law.,Prabhupāda," So if one wants to know what is law, he must become a student. It is not that simply asking ""What is law, sir?"" You can make him understand within a minute or within hour? Is it possible?"
Guest (1),No.,Prabhupāda," First of all, you must become graduate, then you should take entrance in the law college, then you must learn. So what is God, that is the inquiry, but it requires training. And that is Vedicdharma,varṇāśrama-dharma.Varṇāśrama-dharma. Varṇāśramācaravatāpuruṣeṇaparaḥpumān[Cc.Madhya8.58].Anyone who has taken to this system ofvarṇāśrama-dharma,fourvarṇas:brāhmaṇa,kṣatriya,vaiśya,śūdra;and fourāśrama:brahmacārī,gṛhastha, vānaprastha,sannyāsa.Unless one takes to this institutional education, he's no more than an animal. So to know God means he must become abrāhmaṇa,real, qualifiedbrāhmaṇa.Thereforebrāhmaṇais respected. Because,brahma-jānātītibrāhmaṇa.But there is no law. Lawless country. Therefore one is passing as abrāhmaṇawithout any knowledge ofBrahman. That is the defect. Formerly the government will see... I was explaining this, this morning. That it is the kṣatriya's duty to see that one is passing as abrāhmaṇa,whether he's qualified. Why he should pass? Suppose he says, ""I'm medical man."" He must be qualified. And if he says, ""I am medical man,"" then he's cheating. So you cannot call yourself abrāhmaṇaunless you are qualified. But that is going on. And this cheating is being accepted. Therefore thisvarṇāśrama-dharma.Hindudharmaor Vedicdharmameansvarṇāśrama-dharma.One must first of all accept the principles ofvarṇasandāśramas.Then there is question of understanding God. God is not so cheap thing, ""What is God?"" and you understand immediately. You must become first of allbrāhmaṇa."
Guest (1),So in order to understand what is God one has to leave his family and come to some...,Prabhupāda, Why do you surmise like that? You do not know what is God. Why do you surmise your proposal?
