Question Speaker,Question Text,Answer Speaker,Answer Text
Prajāpati,"Prajāpati : ...getting worse over these five thousand years, but by a reintroduction, reintroducing Kṛṣṇa consciousness, the tide can be turned in age of Kali ?",Prabhupāda," Oh, yes. That is the only remedy. That is the only remedy. Anyone who takes to this chanting of Hare Kṛṣṇa mantra , he'll be cleansed of all sinful activities and then everything will come out nice. And it is practical. It is not story. Just see, all our disciples in Europe, America, they were habituated to so many bad habits, and because they are chanting, they are now cleansed. So it is small-scale. If you propagate it large-scale, everyone will be cleansed. [break] ...disciples who were trained up from very beginning of their life: meat-eating. They are giving meat-eating. Here in your country, small children, they are fed with meat-powder. Intoxication is also a daily affair. How they are giving up all intoxication? [break] Is there arrangement for... Where is Karandhara?"
Karandhara,"Jaya , Prabhupāda.",Prabhupāda," That placard, poster?"
Karandhara; Prajāpati,Prajāpati and I discussed it yesterday and we're trying to find an artist to do it.; Prajāpati : Nara - nārāyaṇa Prabhu's good wife is expert artist.,Prabhupāda, Ah.
Prajāpati; Nara-nārāyaṇa,Prajāpati : And she has... I guess she has agreed to...; Nara - nārāyaṇa : Yes.,Prabhupāda," Yes, she is very nice, good artist. Give her engagement like this."
Prajāpati,Prajāpati : Maybe you could explain us a little more detail of the...,Prabhupāda," No, with very much detail it will be cumbrous. You... Symbolic representation."
Prajāpati,Prajāpati : Those three figures in the center?,Prabhupāda, Yes.
Prajāpati,"Prajāpati : One is a devotee, one is a...",Prabhupāda," No, everyone is devotee."
Prajāpati,"Prajāpati : Yes, they are all three devotees.",Prabhupāda, But they're engaged in three departments.
Karandhara,We were thinking for the administrator there could be a judge.,Prabhupāda, Ah.
Karandhara,"Could be a judge, a high-court judge.",Prabhupāda, Yes. That means administrator.
Karandhara,Yes. The other one could be the president.,Prabhupāda," Yes, president also administrator. No, one is in the religious order. That is also required. But here we see, persons who are in religious order, they're also addicted to these four sinful, four sinful life. And he's presenting himself as religious."
Karandhara,On the one should we depict meat-eating or animal slaughter?,Prabhupāda, Eh?
Karandhara,Should we depict animal-slaughter or meat-eating?,Prabhupāda, Animal slaughter.
Karandhara,Animal slaughter.,Prabhupāda, That will be still broader.
Karandhara,Yes.,Prabhupāda," The three figures and one is in a suit, one... They all have tilaka , neck beads and bead bag..."
Karandhara,Gurukṛpā Mahārāja .,Prabhupāda, Eh? Here are religious men.
Nara-nārāyaṇa; Prajāpati,Nara - nārāyaṇa : Oh! (laughter) Jaya !; Prajāpati : How will we distinguish between the other two men? They'll both be in suits.,Prabhupāda, Eh?
Karandhara,"Well, the one man, the president, will be behind the presidential podium, presidential seal. In the front. And the other man would be a high-court judge with...",Prabhupāda," Yes, yes."
Karandhara,...with black robes on.,Prabhupāda," Yes, yes."
Nara-nārāyaṇa,"Nara - nārāyaṇa : With a, two balls.",Prabhupāda," Make nicely this picture. Short-cut, at the same time very convincing. [break] Yes?"
New Devotee,I'm very new to this Kṛṣṇa conscious movement and I'm not as firm as your devotees. Right now I'm being torn in half. Māyā is so strong and I see so much of what you say. Is there...,Prabhupāda, What is this?
New Devotee,Doubts.,Prabhupāda, What is your doubt?
New Devotee,Mental speculation.,Prabhupāda, So you want to continue it or stop it?
New Devotee,Stop it.,Prabhupāda," Then stop it. Take instruction from the śāstra . Don't speculate. That will not help you. The same example, a child's speculation, ""Who is my father?"" He will never be successful. But as soon as he asks his mother, ""Who is my father?"" Immediately knowledge: ""Here is your father."" Finished."
New Devotee,Association is very important.,Prabhupāda, Eh?
New Devotee,Association.,Prabhupāda," Yes. One has to take information from the authority. That knowledge is perfect. And these rascals, philosophical, scientific speculation, all useless waste of time."
New Devotee,"I live in Long Beach and I will be going to school soon, but I'm...",Prabhupāda," Hm. We don't accept any speculative knowledge. We want final conclusion of the experienced person. Nṛpa -nirṇītaḥ, this word is used. Nṛpa -nirṇītaḥ, it is concluded. Kavibhir nirūpitaḥ . Idaṁ hi puṁsas śrutas..., tapasaḥ śrutasya vā . Avicyuto 'rthaḥ kavibhir nirūpitaḥ . Nirṇītaḥ... These words are... It is already concluded. There is no question of argument. In the Vedic literature, these words are used, nṛpa -nirṇītaḥ, nirūpitaḥ ."
New Devotee,I should abandon...,Prabhupāda," Nāsato vidyate bhāvo nā ..., asataḥ vidyate bhāvaḥ . What is the next line? So, we take things which is conclusive. The scientists, they are making experiment, where is the beginning of life. Misled. They are thinking life is from matter. They have no experience. Still, the rascal Darwin gave a theory. They are persisting on it. They have no practical experience that life is coming from matter. That is called vṛścika - taṇḍula - nyāya . You have no experience in your country. We have got. Sometimes you'll find, scorpion is coming out from the stack of rice. You have seen it?"
Karandhara,"I haven't seen it, but I have heard of the example.",Prabhupāda," Yes. So they are thinking the rice is..., rice is producing the scorpion. It is called taṇḍula - vṛścika - nyāya . But rice cannot produce a life. The real fact is a scorpion lays down the egg within the rice, and by the fermentation it comes out. Just eggs. And the small creature comes out. And foolish creatures, they think it that the rice is producing scorpion. That is not possible. So they are putting forward this evolution theory that man is coming from monkey, but no monkey is producing a man. Nobody has seen. There are so many things. They put forward some theory, but it is not fact."
New Devotee,The quickest way to knowledge...,Prabhupāda," Quickest way to knowledge... That I told you; take the knowledge from the authority. The example I have already given that you cannot make research, search out who is your father. But if you go to the authority, mother, immediately you understand. This is the quickest way."
New Devotee,"The thing that's tearing me apart is, um...",Prabhupāda," But just try to understand this. The principle is that if you receive knowledge from the real authority, that is perfect and quick. And if with your imperfect senses you want to acquire knowledge by searching out, it will never be successful. The modern method is to search out the truth by their imperfect senses. All these scientists, philosophers, they are doing that. They admit that their senses are imperfect. Still, they are trying to go to the perfect by the imperfect senses. This is their defect. They are hoping that ""Our imperfectness will be perfect by this research work."" That is not possible. Imperfectness will remain ever imperfect."
Prajāpati,"Prajāpati : They glorify such imperfections, Śrīla Prabhupāda, by saying...",Prabhupāda," Unless they glorify their imperfection, how they can stand? (laughter) They have no standing. If they do not glorify, then they are proved rascals. There will be no argument. They'll have to accept that ""we are rascals."" Therefore they have to glorify. The glorifying society... That is mentioned in the Bhāgavata . The glorifying society is consisting of ass, camel, hog, and what is the other?"
Devotees,Dog.,Prabhupāda," Dog. So we... śva -viḍ-varāhoṣṭra- kharaiḥ saṁstutaḥ puruṣaḥ paśuḥ [ SB 2.3.19 ] . They are all ass, camels, dogs, like that and they are praising each other. ""Oh, you have discovered this. Oh, how nice you are. (laughter) How nice you are."" But we understand the praiser and the praised, both are dogs and cats. That's all. So we don't give any benefit. It is a mutual praising society of cats and dogs, so we don't give any benefit. Now, they can also accuse us in the same way, that ""You are also the society of cats and dog, mutual praising society."" So... Now, who will judge whether they are right or we are right? Who will judge? Eh? There must be some judgement. Everyone will say that ""I am right."" But who judges? There must be a judge, that through both side the lawyers is fighting, that ""My case is right."" Then who will give judgement? There must be one judge. So who is that judge?"
Prajāpati,"Prajāpati : śāstra , guru , sādhu .",Prabhupāda," Yes. Yes. That is the judge. Therefore we quote from Vedic literatures. As soon as we speak something, immediately quote Vedic literature. That is the way."
Karandhara,The trouble is there are so many phony gurus and śāstras.,Prabhupāda, Eh?
Karandhara,There are so many misrepresentations.,Prabhupāda," Because their folly is... They therefore do not take authority. Otherwise they'll be exposed. Yes. śāstra - cakṣusā . Yaḥ śāstra - vidhim utsṛjya vartate kāma - kārataḥ [ Bg . 16.23 ] . These are the injunctions. (dog barks) Yes, come on. We have got your punishment. So there is an argument: pala bonatu hoya (?). ""I'm not afraid of you. Although I'm, I'm going away, I'm not afraid of you. (laughter) Don't think that I am afraid of you."" This is dog business. They'll go, ""gow!"" and go away, go away. They'll not come forward. Come on. (laughter) [break] Well, our every day is a New Year. Nava -navayauvana. Our Kṛṣṇa consciousness is so nice, the more you advance, you see new year, new year. That's all. Nothing is old. People are seeing that they are simply chanting the old slogan, Hare Kṛṣṇa ."
