Question Speaker,Question Text,Answer Speaker,Answer Text
Bhagavān,Shopping? Throbbing?,Prabhupāda, Throbbing or throbbing?
Brāhmaṇada,Groping?,Prabhupāda, No. Throbbing?
Bhagavān,Groving? What does that mean?,Prabhupāda, (Bengali)Cat-patha(?). Just like when you take a fish from the water and put it in the land.
Bhagavān,"Oh, throbbing, throbbing.",Prabhupāda, Yes. That is right word?
Brahmānanda,Yes.,Prabhupāda," Yes. All politicians, political party, nobody is in peace, simply throbbing-making this party, making that party, combining this party, and theanti-government troops, and this, that, so many... There is no other business."
Brahmānanda,No solution.,Prabhupāda," No solution. Big, big leaders.Nābhijānātimāmebhyaḥparamavyayam.Mūḍhāḥ.""All these rascals, they do not know the background is 'I am.' Solution should come from Me,""Kṛṣṇasays.Tribhirguṇa-māyāir bhāvairmohita.But they'll not take this solution. They'll make simply, start a plan. [break] ...less you come to this point,māmebhyaḥ,there is no solution. Now, at least for me, thisKṛṣṇaconsciousness movement is no more theoretical. It is practical. I can solve all problems."
PuṣṭaKṛṣṇa,"The people don't want to accept any austerity, though.",Prabhupāda, Hm?
PuṣṭaKṛṣṇa,The people won't accept any austerity.,Prabhupāda," Then you must suffer from the disease. If you have got disease, you must undergo the... What is this austerity? Where is the austerity?"
PuṣṭaKṛṣṇa,"If they don't accept the medicine, then they can't be cured.",Prabhupāda," Then they must suffer. A man, diseased, and he doesn't want to take medicine, then where is the...? He must suffer. Where is the cure?"
Pañcadraviḍa,They say we're the ones who are diseased.,Prabhupāda, Eh?
Pañcadraviḍa,"They say we are the ones who are diseased. They say, every one of us, we are diseased, not them.",Prabhupāda," Yes. The deaf man thinks all others deaf. (Laughter) That means they are not even human beings. Animals. They do not come to reason, that ""Whether we are diseased, or you are diseased. Sit down. Talk."" That also, they are not ready. Then? What we can do with animals?"
Pañcadraviḍa,They say we are old-fashioned. They don't want to bother with us anymore.,Prabhupāda," Hm? Then why do you bother with the problems? Why do you bother with the problems of society? You bother, but you cannot make a solution. All over the world, the newspaper is full, simply throbbing."
Viṣṇujana,"Śrīla Prabhupāda, can you make them reasonable? If they're unreasonable, is there some way to make them reasonable?",Prabhupāda," They are reasonable. Man, every human being, is reasonable. It is said, ""Man is rational animal."" So when the rationality is not there, that means they are still animal."
Pañcadraviḍa,"Well, what can be done with animals?",Prabhupāda," It is... It is very simple truth. Just I am this body. I am seeking happiness. So why I am seeking happiness? The... If you simply discuss on this point, then you'll find that a man is reasonable. Why I am seeking after happiness? What is the answer? That's a fact. Everyone is seeking happiness. Why we are seeking happiness? What is the answer?"
Pañcadraviḍa,"Because everybody's miserable, and they don't like it.",Prabhupāda," That is a opposite way, explanation."
Kīrtanānanda,'Cause by nature I am happy.,Prabhupāda," Yes. By nature I am happy. And who is happy, this body or the soul?"
PuṣṭaKṛṣṇa,"No, the soul.",Prabhupāda," Who wants happiness? I want protect this body—why? Because I am within this body. And if I go away from this body, who seeks for the happiness of this body? This common reason, they have no sense. Why I am seeking happiness? I am covering this body because the body may not be affected by cold. Then why I am seeking happiness of the body from cold and heat? Because I am within the... If I go away from the within the body, then there is no more seeking after happiness. Either you throw it on the street or it is in extreme cold or extreme heat, it doesn't matter. Then who is seeking happiness? That they do not know. For whom you are so busy for happiness? That they do not know. Just like cats and dogs."
