Question Speaker,Question Text,Answer Speaker,Answer Text
Viśāla,(in background) Glories to Śrīla Prabhupāda!,Prabhupāda, HareKṛṣṇa.Jaya.[Break] It is the grace of Providence you do not see that it is properly cleansed.
Viśāla,I'm sorry. I will see to that...,Prabhupāda, Yes.
Viśāla,Your Divine Grace. That is my fault.,Prabhupāda," Why there is water? This water means the shoes, dirt, it will be dirty. So you have no eyes to see?"
Viśāla,I am blind. I am sorry. I will see that it is cleaned for you.,Prabhupāda," Then become with eyes. Simply praying, what you will do? Do something practical."
Harikeśa,"This is the argument people always throw against us. ""Simply praying, what will you do? Do something practical."" They say this all the time.",Prabhupāda, Everyone will say that.
Devotee orVraja-vāsī,Haribol!,Prabhupāda," HareKṛṣṇa.Jaya.So they are guests. They are coming.Kṛṣṇasays everything practical. He never says that ""You press your nose and everything will come."" He never said like that. ""You become ayogiby pressing your nose, and keep your head downward, and then you'll become perfect and everything will come."" He never says. AndArjunaalso never accepts anything impractical. That isBhagavad-gītā.As soon asKṛṣṇasaid that ""You practiceyogaby this way "" immediatelyKṛṣṇasaid ""My dearKṛṣṇait is not possible, for me. I cannot control my mind.""Vāyorevasuduskara.""It is impossible as to control the air."" If somebody says, ""I shall control the air..."" So these things are there in theBhagavad-gītā,all practical.Kṛṣṇawas accepted the Supreme Lord by His practical instruction and practical features. They are not followingKṛṣṇathemselves also. That is the difficulty. [break] What is going on here? [Break] Private.Huh?"
Indian man,Rudra-yajña.(Bengali),Prabhupāda, Somebody is exploiting.Rudra-yajña.[break] ...any mention ofRudra-yajña?In theBhagavad-gītāthe word isyajña.Yajñārthāt karmaṇo 'nyatra.Where isRudra-yajña?(Hindi)
Harikeśa,How does one stop cheating in a world of cheats?,Prabhupāda," This material world is meant for cheating. You cheat, and others will cheat you. That's all. This is material world. It is not ""how?"" If you inquire, ""How it is cold?""... The season is cold. There is no question of how. The place is for cheating and cheaters. So there is no question, ""How it is cheating?"""
Harikeśa,So you can't stop the cold.,Prabhupāda, Yes.
Harikeśa,You can't stop the cheaters.,Prabhupāda," No. Yes, it is not possible. But you can do everything by becomingKṛṣṇaconscious. That is the advantage ofKṛṣṇaconsciousness.Kṛṣṇasays,ahaṁtvāṁsarva-pāpebhyomokṣayiṣyāmi[Bg.18.66].You cannot get out of sinful action, butKṛṣṇacan do it. Therefore He says, ""I'll get you released."" You cannot get released; therefore He says, ""I'll do that."""
Harikeśa,So bringing it to a practical platform...,Prabhupāda," Practical means it will be done byKṛṣṇa. Your only business is to surrender toKṛṣṇa. You cannot do anything. And as soon as you think that ""I shall be able to do it,"" then you are a rascal. Immediately you are rascal."
Harikeśa,So only a fully surrendered soul can do everything perfectly.,Prabhupāda, Hm?
Harikeśa,A fully surrendered soul is the only one who can do things perfectly.,Prabhupāda," He cannot do anything, even in his... Everything is to be done byKṛṣṇa. But he has to apply his intelligence byKṛṣṇaconsciousness. Even if he is intelligent, he cannot do anything."
Harikeśa,Except surrender.,Prabhupāda," Yes. He can surrender, andKṛṣṇawill do everything. You have to act very sincerely under the direction ofKṛṣṇa, and then the war will be successful, asArjunadid."
Harikeśa,So imperfect activity is a sign of lack of surrender.,Prabhupāda," Yes. [break]...avaśyarakṣibekṛṣṇa.Rakṣiṣyatiitiviśvāsa-pālanam.You work sincerely, devoutly, and have faith that ""Kṛṣṇa will save me from all dangers.""Rakṣiṣyatiitiviśvāsa-pālanam.""I have surrendered toKṛṣṇasincerely. NowKṛṣṇawill give me all protection."" This faith, that is the beginning of devotional life. (aside:)HareKṛṣṇa. Faith."
Harikeśa,"So this faith, is thisśraddhāorniṣṭha?",Prabhupāda," Śraddhā.Beginning,śraddhā.Then, when he is advanced, then he becomes fixed up. ""Yes,Kṛṣṇais protecting me."" [break] ...that here is some goddessKali, and nobody is living here."
Harikeśa,"No, and then they worship in that temple. That's a temple there.",Prabhupāda," Oh. (aside:)HareKṛṣṇa. No, the road is, er,gateis closed. [break] People in general, they take that ""There is no God, and if there is God, He is now dead."" This is general impression."
Harikeśa,"There is one nice thing I saw on one wall. It says, ""God is dead. Nietzche ""And then right underneath it somebody wrote, ""Nietzche is dead. God.""",Prabhupāda, Nietzche? Nietzche means?
Harikeśa,"Nietzche, that philosopher. He was the one who first...",Prabhupāda, (Aside:)HareKṛṣṇa.Jaya.Yes.
Harikeśa,"Nietzche first brought up the philosophy of ""Everything is nothing,"" for the Western people. ""It's all nothing. It all ultimately boils down to nothing. So there is no possibility of God.""",Prabhupāda," Śūnyavādī. Śūnyavādī.That isśūnyavādī.Nirviśeṣa-śūnyavādī. Śūnyavādī,they say, ""There is no God, and there is nothing, fact. Everything is combination of some illusory things."" This isśūnyavādī.And theMāyāvādī,they say, ""Yes, there is God, but He has no form."" Therefore we have to kill both of them.Nirviśeṣa-śūnyavād-pāścātya-deśa-tāriṇe.The whole Western world are filled up with theseśūnyavādiand impersonalists. India is also nowadays, but there are, still there are devotees in theācārya-sampradāya.They are fighting againstśunyavādaandnirviśeṣa."
Harikeśa,In South India I think a lot of the Rāmānuja followers are.,Prabhupāda, Yes. [break]
Akṣayānanda,"If everything was void, then there would be no hope for living. So might as well die.",Prabhupāda," No. By combination, permutation, you create, and if you don't want it, then avoid this combination. [break] Even in four o'clock time, visiting, if he comes at four o'clock, you let him come in. [break] ...Gurukula we require teachers for teaching the small children. So our, these girls, they cannot take this charge of teaching?"
Akṣayānanda,"Yes, one is already teaching now. One is already teaching children now, one girl.",Prabhupāda, Who is he?
Akṣayānanda,Her name is Ruth. She's English. Every afternoon she teaches the children.,Prabhupāda, Indian?
Akṣayānanda; GopālaKṛṣṇa,"No, English.; There's also one in Bombay. She used to be a public school teacher in England. After the school is open she can come over here. And there's one in Māyāpur, but she's teaching in Māyāpur.",Prabhupāda," Similarly, other girls, they can take up this."
Akṣayānanda,Yes. [break],Prabhupāda," ...our guest. Because somebody is guest, paying guest, therefore we shall admit anyone in any kind of dress?"
Akṣayānanda; GopālaKṛṣṇa; Akṣayānanda,"No.; We don't admit people who look like hippies or something.; That girl, I told her she had to wear asari.And she did for some time, but then again she stopped.",Prabhupāda," That I am speaking, thatsayadikrīyaterāja."
Akṣayānanda,Due to habit.,Prabhupāda," Sakrn nasnuta pahanam(?) That is the difficulty. It will be very bad example. People will think... They already thinking that ""These are all hippies."" That will minimize the prestige of the temple. [break] Jaipuria House they do not allow any hippies. You know that?"
GopālaKṛṣṇa; Akṣayānanda,"Jaipuria does not allow any foreigners at all. They don't allow any foreigners at all, even if somebody is decently dressed.; One boy came a couple of weeks ago. He had long hair. But the next day he came back and shaved up. He's a devotee now. He's doing nicely.",Prabhupāda, That's nice.
Akṣayānanda,So they will still come. They can become devotees. It's all right then.,Prabhupāda, HareKṛṣṇa. [break]
Akṣayānanda,"...doing, Śrīla Prabhupāda. If they come and they have long hair but if there's a chance they might become devotees, I tell them they must tie up their hair in such a way that you cannot see it.",Prabhupāda," That's all right. If many comes like that to become devotee, then it becomes a devotee place, er, hippie place. You give them chance to become a devotee. In the meantime, it will be known as a hippie resort."
Harikeśa,That's always been a problem here.,Prabhupāda," It is no problem. You can allow for three days only. If he does not change his habit, then he must go."
Akṣayānanda,Yes. all right. [break],Prabhupāda," ...was in the beginning allowing, but they saw some disadvantage. Therefore they have stopped. [break] ...ourDhanañjaya?"
GopālaKṛṣṇa,He's sick.,Prabhupāda, Every morning he is sick.
Harikeśa,He had typhoid.,Prabhupāda, Typhoid?
Harikeśa; Bhāvānanda,Yes. (end); Someone had mentioned that we should start up in Bihar and come down into Bengal.,Prabhupāda, Do you think if they go to Orissa it will be nice? No? Thesaṅkīrtanaparty.
Akṣayānanda,Orissa will be nice?,Prabhupāda, So you talk with him.
Bhāvānanda; Akṣayānanda,"Yes. [break]; ...say to me what do I think of Pāgal Bābā? And I would say, ""Well, ourGuruMahārājadoes not approve of us smoking cigarettes."" And they will say, ""But he smokes cigarettes."" And I would say, ""That is because he ispāgal."" And they would agree. [break]",Prabhupāda," These four principles will make so many bogusbābāsas useless, simply if you follow these four principles. [break]"
Akṣayānanda,...thatRāmacandraate meat. Some people have said to me...,Prabhupāda," Rāmacandracan eat you and the whole universe. (laughter) Can you do that? By... EvenRāmacandraused to eat meat, so you can simply imitate for meat-eating. But why don't you imitate how to construct a bridge over the ocean? Why don't you say thatRāmacandraconstructed a bridge on the ocean. Can you do that?"
Akṣayānanda,No.,Prabhupāda, Then you are rascal.
Akṣayānanda,"But in theBhagavad-gītāit says,yadyadācaratiśreṣṭhas[Bg.3.21].Whatever the great men do, you must follow in their footsteps.",Prabhupāda," Yes. By their instruction, not by their activities. You should follow the instruction, not the activities. HasKṛṣṇasaid anything that ""You also actrāsa-līlālike Me?"" Has said?"
Akṣayānanda,Never.,Prabhupāda," Then how you can? These rascals, theseMāyāvādīs,they playrāsa-līlā.[break] ...ācaratiśreṣṭhasmeans thatśreṣṭhais ordinary person, but notBhagavān.Bhagavāncan act any way. And still,Bhagavānhas never instructed you that ""You imitate Me in raising theGovardhanaHill."" Has He said like that, that ""You also raise theGovardhanaHill like Me""? [break] ...ordersman-manābhavamad-bhaktoṁad-yājīmām.That is for you. Always think of Him. Always become His devotee. Worship Him. Offer your obeisances. That's all. That is for you. Yasodamayi was askingKṛṣṇa, ""My dearKṛṣṇa, can you bring the slipper of Your father?"" He could not. He was a small child. Still, with great difficulty He could raise that. But the person who can raise theGovardhanaHill, He was feeling difficulty to raise the slipper? Why? If at that time He becomes likeGovardhana, Giridhārī, then thelīlābetween father and son will be damaged. He plays just like a child. Although He can raise even in that age, to raise the hill. One should understandKṛṣṇa. Everyone compares Him with ordinary man: ""Kṛṣṇa has done this? Then I shall do.""Kṛṣṇahas done so many other things. Why don't you do it? This rascal... Anyone who imitatesKṛṣṇaon the plea that ""Kṛṣṇa has played this; therefore we shall do."" He can do anything. He can eat meat and He can eat the whole universe. That was shown to His mother: ""Mother, you are angry because I have eaten dirt. Now see within My mouth the whole universe is in. So what is the question of dirt and sea and ocean? I can eat everything."" [break] ...samnadoṣāya.Just like this sun. It dry up this urine. It is not infected. But you lick up this urine and let us see how powerful you are.Tejasaṁnadoṣāya.Who is powerful, he can do anything and everything, whatever he likes. You cannot do that. [break] ...example. This urine, within an hour it will be dried up. How it is dried up? Due to the sun. But the sun is not polluted. But you try to dry up and see the result."
Hari-śauri,Śrīla Prabhupāda? Wasn't it Lord Rāmacandra's purpose to actually display by His activity how a perfect human being should act?,Prabhupāda, Who said?
Hari-śauri,"Well, I understood that that verse,yadyadācaratiśreṣṭhas[Bg.3.21],that was referring to LordRāmacandra.",Prabhupāda," Everyone is referred, but whateverRāmacandrasays, you should do that. You should not imitate. There are two words: following and imitating. Imitation is not good. Following is good.Yadyadācaratizreṣ...You can... That I have already explained. Can you construct a bridge on the ocean? You are claiming,yadyadacarati. Can you do this? Then why do you say like that? You cannot imitate. You can follow only. ""BecauseRāmacandraate meat, so I am eating meat. I becomeRāmacandra."" And why don't you construct a bridge on the ocean?"
Akṣayānanda,"So actually, perfect kings, they may have eaten meat? Perfect kings...",Prabhupāda," No, perfect king must follow the Vedic injunction."
