Question Speaker,Question Text,Answer Speaker,Answer Text
Amogha,"In verses like this one, when there is the multi-use of one word, like the wordātmāis mentioned here to refer to four potential meanings. Sometimes professors and some scholars argue on the point, how do we know which one of the meanings is used in this verse?",Prabhupāda," Any one you can take, and it will be explained."
Amogha,So any of the four meanings is also the same true meaning.,Prabhupāda, Yes.
Amogha,"Sometimes they claim that we should not claim that our choice is the true choice, but they don't understand that any of those meanings can be true at the same time.",Prabhupāda," Yes, this body is true. We have got body. We don't say it is false. It is true. Bodily pains and pleasures we feel, so how can I say that the body is false? The body means bodily pains and pleasures, then we are affected, so how you can say it is false? Similarly the mind, and soul is absolute thing. Factually. So any item you take, you can understand by thorough study."
Paramahaṁsa,"In some cases, in a more controversial case, the word chosen, or the meaning chosen for a particular Sanskrit word, may change the whole meaning of the verse, but because...",Prabhupāda," Therefore you have to take theparamparāmeaning. Because we are foolish, we cannot understand properly.Tadvijñārthaṁsagurumevābhigacchet.Therefore, one has to go toguruand understand the meaning byparamparā.You cannot make your own meaning. The meaning is already there. But if you cannot understand, then you should approachguruand understand the meaning byparamparā."
Paramahaṁsa,"Sometimes people ask where Swami Prabhupāda get his meanings for different words, because they would differ, they would disagree and pick some other word. But they don't know that you are simply taking the verse and the meaning of the words word for word, as the previousācāryashave done.",Prabhupāda," Kṛṣṇasays. You take that meaning. Where is the difficulty? You do not know, and neither you accept Kṛṣṇa's words. Therefore you remain foolish. You foolishly... First of all you do not know, you are imperfect. And one who knows, you do not take his words. Then you remain foolish. What can we do? What is the answer? You are foolish. So you have to know from others. When we say that you take from others who are perfect, then you will not take. And you are foolish, so remain foolish. What can we do? Hmm?"
Paramahaṁsa,"Sometimes people ask, though, they say, ""Why is it that even among theācāryassometimes we find there is a difference of opinion?""",Prabhupāda," They are notācāryas.They are notācāryas.There is no difference of understanding betweenācāryas.What Madhvācārya understands, we also understand. Suppose you are present also. So there is no difference. What Rāmānujācārya understands, we also understand. WhatCaitanyaMahāprabhuunderstand, we also understand. So where is the difference? Difference should be that the fact that he is notācārya.As soon as he differs from the previousācāryas,that means he is notācārya.Otherwise there is full agreement between all theācāryas.Just likeKṛṣṇais the Supreme Person, allācāryasagree. Where is the difference? Does Rāmānujācārya differ from Madhvācārya, or Madhvācārya differ from ŚrīCaitanya,Caitanyadiffers from—no. There is no difference. That isVaiṣṇava. All the Vaiṣṇavas understand thatViṣṇuis the Supreme. There may be, sometimes, such asKṛṣṇais understood as incarnation ofViṣṇu, and sometimes they understandViṣṇuas the incarnation ofKṛṣṇa. That issampradāya.That issampradāya.But eitherKṛṣṇaorViṣṇu, He is Supreme, that is accepted by all."
Paramahaṁsa,So that point is not so important whetherKṛṣṇais coming fromViṣṇuorViṣṇuis coming fromKṛṣṇa.,Prabhupāda," Yes, that is not important. Because, actually both of them the same, the Supreme. That example we give that candle, two candles, that so far the power of lighting is concerned, both of them equal. Now, you may say this is first candle, I say if it is first candle. But so far the power is concerned, there is no difference of opinion. If I love somebody, I'll say he is first. And if you love somebody, you'll say he is first. But both of them same. Just like devotees, some devotees are very... Hanumanji, he'll never acceptKṛṣṇa. And thegopīswill never acceptRāmaorViṣṇu. So far theKṛṣṇaandViṣṇu, they are all the same. What do you think?"
Paramahaṁsa,"I think perhaps (indistinct) So actually the differences, whatever little differences may arise, those differences amongst theācāryas,they are due to different feelings of love forKṛṣṇaor His manifestations.",Prabhupāda," You'll find in some, among some devotees, they will criticize, ""Why you are worshipingRāmacandra? He could not save even His wife."" (laughter) And some will, ""Ah, you are worshipingKṛṣṇa. He was so fond of women."" Like that. InVṛndāvanayou'll find they are different. Somebody will say, ""HareKṛṣṇa,"" another will say, ""SītāRāma."" There will be competition. There is not difference. Both of them know that either I worshipRāmaorKṛṣṇa, They are the same."
Amogha,"Śrīla Prabhupāda? Here it mentionsBrahmān, and as I understoodoṁkāra...My question is whetheroṁkārais a representation...",Prabhupāda," There is no question aboutoṁkārathere. Discuss on the verse. Butoṁkārais alsoKṛṣṇa.Praṇavaḥsarvavedeṣu. Raso 'hamapsukaunteyapraṇavaḥsarvavedeṣu[Bg.7.8].Kṛṣṇasays, ""I ampraṇavaḥ."" Sooṁkārais not different thanKṛṣṇa. Butoṁkārais pronounced by the impersonalists. That is the difference.Kṛṣṇa, when He says that ""I ampraṇavaḥ,I amoṁkāra,"" then where is the objection? They foolishly say thatoṁkārais better thanKṛṣṇa. There is no need of chanting ""Kṛṣṇa."" That is not good. But so far we are concerned, we say there is no difference betweenoṁkāraandKṛṣṇa. Other systems, Christianism or Buddhism or Mohamedanism, they have got one book,Koran, Bible,or... What is the Buddhist scripture? One book. And we have got so many, dealing with the same subject matter. So which is better? Higher mathematics, or two plus two? They should understand the gravity of this movement, my presentation of books. They haven't got so many books. Two thousand years past, the Christian religion has got only one book,Bible.And their only pastime of Christ is crucifixion. There is the cross. Therefore it has become hackneyed. People are no more interested. Neither they can explain very nicely. Neither they follow strictly whatever little information they have. Then?"
Amogha; Paramahaṁsa,Next verse?; ...Madhusūdanabecause He killed the demonMadhu. But who was thatMadhu?,Prabhupāda," A demon, it is said."
Paramahaṁsa,But I don't think we've heard that story before.,Prabhupāda," In the beginning, whenBrahmāwas created, one demon,Madhu, came to swallow him. AndKṛṣṇakilled him.Madhu-Kaitava, two brothers,MadhuandKaitava."
Paramahaṁsa,He came to swallowBrahmā?,Prabhupāda, Yes.
Paramahaṁsa,So he was one of the first demons killed.,Prabhupāda, Yes.
Amogha,May we ask questions about pronouncing the Sanskrit?,Prabhupāda, Yes.
Amogha,"When the a-h with the dot is in the middle of the verse should it always be pronounced clearly, a-ha.Adhi-yajña-ha,or is it more likeadhi-yajña.",Prabhupāda, That is stated there. In the verse what it is?
Amogha,"Adhi-yaj...Well, it depends on whether I pronounce it right. (laughs) But it is spelled, a-d-h-i-y-a-j-n-a-h with a dot underneath. So...",Prabhupāda," Adhi-yajña.When we divide the word, then the first noun form is used. Sanskrit grammar is very difficult. It requires twelve years to learn simply Sanskrit grammar. So, that is not possible. So whatever is there, you understand that. Sanskrit grammar is very, very difficult. At least twelve years it requires. And if you understand Sanskrit grammar, then you can read all the Vedic literature without any translation. Simply by studying. Therefore the Sanskrit scholars are first of all taught grammar. And when one is expert in reading grammar properly, then all Vedic literature becomes very simplified."
Amogha,"The Supersoul, does He... I remember in one place it describes that the Lord is so small that He can enter even into the heart of the individual soul, and...",Prabhupāda, Even into the atom. So where is the difficulty?
Amogha,"Well sometimes it is described that the Supersoul is situated beside the individual soul. So He's beside the individual soul, not inside the individual soul.",Prabhupāda," Inside does not mean He is not beside. We are inside this room, that does not mean I an not beside the room. Because I live within the room, does it mean that the room and myself are the same? Then, why don't you understand this? God may be within anything, but that does not mean that He is equal or one with that thing. That isMāyāvādīphilosophy, foolish philosophy. Because I am within this room, does it mean that the room and myself are the same? I am more important than the room. So what is the difficulty to understand? Does it mean because I am within the room, I am less important than the room? The room is important or I am important? Who is important?"
Amogha,You are.,Prabhupāda," So similarly,Kṛṣṇamay enter within anything, but still He is more important than anything. This is simultaneous.Aṇḍāntarasthaṁparamāṇu-cayāntarastham—Kṛṣṇais within and without. That is Kṛṣṇa's position.Antaḥbahiḥavasthitam—in Kunti's prayers you will find thatKṛṣṇa, ""You are within, and you are without, still nobody can understand."" That is stated. What is our experience? Within and without. ButKṛṣṇais both, within and without, and still we do not see.Naṭo nāṭyadharoyathā—just like a person playing on the stage, and his relatives and others they cannot understand that Mr. Such-and-such is playing. They are seeing something else. He is playing before them, he is known to them, but he still cannot understand. This example is given,naṭo nāṭyadharoyathā.So Kuntīdevī explained this. Did you not read Kunti's prayer?Kuntisays,antarbahiravasthitaḥ.""You are situated within and without. Everywhere you are."" But still the foolish men cannot understand. And why they cannot?Naṭo nāṭyadharoyathā.Just like one's father is playing on the stage, but because he is playing in a different role, or dressing in a different role, even the son cannot understand. So what is the difficulty? Hmm? Difficulty is mind; otherwise there is no difficulty. I am foolish, therefore... OtherwiseKṛṣṇais visible to everyone. We have got two kinds of experience, within and without. He is present within and without, but still we cannot seeKṛṣṇa. That ismyfoolishness, that ismyimperfection. We have to become perfect, then we will seeKṛṣṇaeverywhere. That is morningsādhana,spiritual consciousness, advancement. The more we advance in spiritual consciousness,Kṛṣṇawe'll realize more and more.Svayamevasphuratyadhaḥ:you cannot seeKṛṣṇa, but as soon as you become purified, He reveals Himself. It is not due to you that you can see. WhenKṛṣṇaallows Himself to be seen by you, then you can see. So you have to become qualified to see Him; otherwise He is everywhere present, we can't see Him. And without being qualified, if you want to see Him, that is not possible.Nāhaṁprakāśaḥsarvasyayoga-māyāsamāvṛtaḥ[Bg.7.25].Find out this verse."
Paramahaṁsa,"In this connection you have quoted LordBrahmā, saying that... LordBrahmāsays that the great material scientists, they may be able to calculate the atomic structure of the material world and the planetary system, but even ifKṛṣṇais standing right in front of them, they can't calculate His potencies.",Prabhupāda," Vivekananda liked to say, he challenged Ramakrishna, ""Can you show me God?"" He said, ""Yes,"" and he showed him God and then he became disciple."
Paramahaṁsa,"They're saying that thisBalYogeshwara, people ask him ""Can you show what is God,"" and he says, ""Oh, yes,"" then he shows them.",Prabhupāda," Where he is now, thisBalYogeshwara?"
Paramahaṁsa,"I don't know where he is. There was one article about him recently, but they didn't say where he was. I think he was rejected. Maybe he is trying to start his own movement. But as far as his Divine Light Mission, he is kicked out.",Prabhupāda, Kicked out by whom? By mother.
Paramahaṁsa,"Yes, mother.",Prabhupāda, Mother is authority.
Paramahaṁsa,Yes.,Prabhupāda, Just see.
Paramahaṁsa,They say that the main reasons that she gave for kicking him out were that he was going to nightclubs and dancing and drinking and eating meat.,Prabhupāda," So he was doing all, everything."
Paramahaṁsa,"Yes. So she said, ""Oh, he is notHindu,"" according to them.",Prabhupāda, Then you cannot be God. (laughter)
Paramahaṁsa,"So she said instead my other son is God. He is very... Also she was a little angry becauseGuruMaharaj-ji's wife, that American wife that he got, who used to be his secretary—after they were married, in all the temples, their ashrams all over the world, they used to have thatBalYogeshwara's picture and then his mother's picture. But now they took the mother's picture down and put the wife's picture up. So the mother was very angry. Therefore she kicked them both out, and now her picture and another son is on the altar.",Prabhupāda, Another son. So they're accepting.
Paramahaṁsa,"Oh, yes. He was actually popular anyway, the other son. He was almost as popular asBalYogeshwara. He's the older son. He's a jazz musician, so they like it.",Prabhupāda, Jazz? What is that jazz?
Paramahaṁsa,American music. Something like rock and roll. It is modern music.,Prabhupāda," Hmm. So, how he learned? He is Indian."
Paramahaṁsa,"Well, I don't know, but he's pretty good. His band was very popular in America.",Prabhupāda, Hmm?
Paramahaṁsa,"They were very popular. THey would travel around and do performances, and thousands of people would come. He had quite a big group of musicians, and he was the leader. He would lead the whole group. He would play the trumpet and sometimes dance.",Prabhupāda," Hmm. Then,RaviShankar is no more popular?"
Paramahaṁsa,Most people think he's too puffed up.,Prabhupāda, Yes. Otherwise how they say he's God? Then? You can stop. Those who are tired can take rest. What is the local time?
Amogha,8:30,Prabhupāda, 8:30?
Paramahaṁsa,"Usually people don't have a very clear idea of what spiritual life is. So when they see someone who is a good musician or a good artist or something like that, sometimes they automatically think, ""Oh, he must be spiritual, because he is so good at this. No one else can do it. He must be some spiritual power."" So therefore someone likeRaviShankar, a lot of people either they become envious or they worship him as being an incarnation or something like that.",Prabhupāda," That is also stated,yadyadvibhūtimatsattvaṁ."
Devotees; Paramahaṁsa,HareKṛṣṇa. (offer obeisances) (end); They can bring a dog if he's on a leash.,Prabhupāda," Nobody can. I have seen in Los Angeles. (pause) The water is not very clean. (ducks quacking) We are afraid of water; they're enjoying. (pause) Here we have got gold, copper, somewhere in the mines, but in the sky there are millions of miles land of copper, gold."
Amogha,"Do you mean other planets, Śrīla Prabhupāda?",Prabhupāda," Yes. Big, big planets, millions of miles. (pause)"
Amogha,"Śrīla Prabhupāda? When a spirit soul first falls from the spiritual sky into the material world, does he first go to the lowest of the 8,400,000 species of life, and then gradually come up, or can he fall to the middle or anywhere?",Prabhupāda, According to his desire. In the beginning it is not so fall down.
Śrutakīrti,"In a purport in the Fourth Canto you say that usually they take human forms, because they are desiring to enjoy in that way. And then they begin falling down.",Prabhupāda," Yes, the more they enjoy, the more they become entangled. (pause) Does it snow here?"
Amogha,No. In the mountains.,Prabhupāda," Mountains. (pause) ...it is said that sun is the source of everything within this universe. Maintenance of all living entities. The source within the universe is the sun. Therefore thisGāyatrīmantrais worshiping the sun,oṁbhūrbhuvaḥsvaḥtatsaviturvareṇyaṁbhargodevasyadhīmahi."
Gaṇeśa,Does that mean thatVivasvānis more powerful than LordBrahmā?,Prabhupāda, No.Vivasvānwas begotten byBrahmā.
Amogha,SomeKali-yugaswans.,Prabhupāda," Black swans.Bharanityabhayamāyā.They are also aware how to protect their interest. Every living being knows how to eat, how to sleep, how to have sex, and how to defend from fear. These trees I find in America. Here, they are scented. What is called, these? Canada."
Gaṇeśa,They look like a maple tree.,Prabhupāda, Yes. It is maple tree.
Gaṇeśa; Amogha; Paramahaṁsa; Śrutakīrti; Amogha,"I don't think it's quite the same.; No. It's maple tree, but you can't get any maple syrup from this kind. A special kind.; They had this tree where I used to live, also. I don't remember the name of it. In California.; On the airplane coming here they had some article in one of the airline books about eucalyptus trees and how these monks, they make wine out of the eucalyptus. The Trappist monks. Some kind of Trappist monks, they make wine out of the eucalyptus, and they have a big store, and they sell it, in Italy. That's their profession, making different liquors.; Recently we have shown the film and spoken in several Catholic schools in Melbourne. They have comparative religion classes, and they ask us to come to their high schools to teach comparative religion so the students can see what other religions think. Usually they...",Prabhupāda, There is no other religion. All bogus.Dharmaḥprojjhita-kaitavo.Only religion is to surrender toKṛṣṇa. That is religion.
Amogha,"They think that if they sin it's all right, because man is imperfect. So they think we should believe in Jesus.",Prabhupāda," Every animal is imperfect, but man—animal can become perfect. If he likes. So it is very important life."
Śrutakīrti,"They say it's not possible to become perfect, that that's saying ""I can become God.""",Prabhupāda, What?
Śrutakīrti,"They say only God can be perfect, that we cannot become perfect.",Prabhupāda," No, you cannot become as perfect as God, but near about."
