Question Speaker,Question Text,Answer Speaker,Answer Text
Brahmānanda,...possible to be a scientist and also be God conscious. Why not use science...,Prabhupāda, That is real scientist. These are false scientists.
Cyavana,"...lization, they feel that they need science. They've become dependent upon science. They feel that without science they cannot live.",Prabhupāda, Why?
Cyavana,The scientists have made them dependent.,Prabhupāda," That is their foolishness. These rascals are fools. Therefore they have become dependent. Why science? What for? That is not... Science is required,vijñāna.That is nice. But they are not scientists."
Cyavana,"We ask them if they need eternal life. They say ""No, we don't need that. We need comforts.""",Prabhupāda, They... We are eternal.
Cyavana,"That ""We need our daily bread,"" like that.",Prabhupāda," Where is comfort? You are going to die. Where is your comfort? You are going to be diseased. You are going to be old man like me. Every moment there is some trouble. So where is the comfort, rascal? That means misleading. There is no comfort; still, they are promising comfort. This is misleading. Where is comfort? Eh?"
PuṣṭaKṛṣṇa,There is no comfort.,Prabhupāda," Huh? Where is comfort? If you have to die—""Oh, I am dying comfortably""—what is this nonsense? ""I am dying comfortably."""
Indian devotee man (1),"Like yesterday night, that man. I asked him, (Hindi) So he said that ""I am all right."" But he was unable to sit on the chair.",Prabhupāda, So which way?
Cyavana,"To the park, straight.",Prabhupāda," Comfort, where is your comfort? Why you have so many medical men if you are comfortable? Why there are so many drugs, medicine, if you are comfortable? This ismāyā.He is not in comfort; still, he will say that ""I am in comfort."" This is calledmāyā,illusion."
Brahmānanda,"So these drugs, even though one may be feeling pain, he can take the drugs and he won't feel pain.",Prabhupāda," Yes. He will take injection. It is comfort. Daily he will take injection, and it is comfort. (laughter) Just see the fools and rascals.Mūḍha.[break] ...met so many medical men, doctors and quack. ""Die comfortably."" What is the use of this medical man, medicine? What is the use? If your comfort and death is comfortable, then why spend so much money? Die comfortably. Because you cannot check death, then why you are trying to check death? ""Let me live some years more. Let me take this medicine."" Why? Why this struggle? Die comfortably. Suffer disease comfortably."
Cyavana,They've made so much propaganda that life is meant to enjoy. Everywhere...,Prabhupāda," Enjoy, but where is your enjoyment? Come to the practical point. Where is your enjoyment? You are simply suffering. That is their rascaldom. They are suffering; still, they say, ""I am enjoying."" This is called illusion,māyā.Enjoy. That we also say, that we are trying to take you to a certain place, kingdom of God or back..., where you will enjoy. Enjoy...Ānandamayo 'bhyāsāt(Vedānta-sūtra1.1.12).That enjoy is our aim. But where is your enjoyment here? That is your rascaldom. There is no enjoyment; still, you say, ""We shall enjoy."""
Cyavana,Their propaganda leads people to think that they can enjoy... That it's possible here.,Prabhupāda," They're misleading. That is misleading. We have to check that. That is ourKṛṣṇaconsciousness move..., that... They are not enjoying, and these rascals misleading them that they are enjoying. [break] Enjoyment is our aim also—but real enjoyment.Ramanteyogino 'nante satyānande. Satyānanda.Not thisānanda,temporaryānanda."
Cyavana,Eternal.,Prabhupāda," Satyānanda-cid-ātmani.Yogis,bhakti-yogis,they also wantānanda,but not this falseānanda, satyānanda-cid-ātmāni,iti...Therefore they callRāma.Rāmameansramaṇa,enjoyment.Itirāma-padenāsauparaṁbrahmābhidhiyate[Cc.Madhya9.29].They do not know what issatyānanda.They do not understand, as soon as we accept this material body, it is misery, simply misery. The body is constructed within the womb of the mother in a miserable condition. These rascals, they do not understand. In a packed-up way, head down, leg up. And it is enjoyment. The body is created in this troublesome, from miserable condition; still, they say, ""enjoyment."" This is foolishness. This is called illusion."
Brahmānanda,"Sigmund Freud, his philosophy is that that position in the womb was one of great security, and we all want to go back to that position.",Prabhupāda," Where is security? The mother is killing them, abortion. Where is security? The mother, under whose abdomen I have taken shelter, she is killing. Where is security?"
Indian man (1),"OneĀrya-samājīin Nairobi, he was saying that the body is only made in three months, not in seven months in the abdomen of a mother.",Prabhupāda, Hm?
Indian man (1),He said the body only...,Prabhupāda, The body is made in one night.
Indian man (1),He said that...,Prabhupāda," No, he said. What he is? Body is made, one night, immediately. After sex it becomes emulsified, two secretion, and immediately a pealike form is there. That is body. And that grows."
PuṣṭaKṛṣṇa,"Although everyone is suffering, however, they think that ""Because I am not suffering, everyone else is suffering, and that's okay."" They're thinking that the miseries are only for others.",Prabhupāda," That is another ignorance. Everyone is dying. He is thinking, ""I will not die."" This is ignorance. He is running so fast unnecessarily."
Cyavana,He is trying to enjoy that machine.,Prabhupāda," Enjoy means another machine willstrike, and his enjoyment will stop. There is ship, going fast. Where he will go fast?"
Brahmānanda,Around the island.,Prabhupāda," Just like the dog. He goes fast here and there.""Gow! Gow!""(laughter) It is like that. He is going fast. Doggish mentality. That's all, all dogs and cats, no human being. This civilization means they are creating only dogs and cats, animals,go-kharaḥ,cows and asses. They are... We don't take them as human being. All animals."
PuṣṭaKṛṣṇa,Is that because they don't acknowledge that they're suffering?,Prabhupāda, So many things. So many things. The first ignorance is that accepting this body as self. Everyone.
Cyavana,The capitalists are so anxious for money that they exploit this tendency of the living entity to enjoy by tempting him. Every year they create some new way to entice him.,Prabhupāda," And taxation. And the taxation is divided among them. The tax is meant for public welfare. Instead of public welfare, they divide it amongst themselves and enjoy wine, women, motorcar and flesh. That's all. This is going on. All this income tax-plundering process. This income tax means a plan how to take away everything from the actually earning members of the society. That is income tax. And that is divided amongst administrators. That's all."
Cyavana,"Here it is very prominent. The workers in the fields, they are barely making enough to live from day to day. But the planters who live in France, they are taking millions of rupees and living very comfortably.",Prabhupāda, Therefore Communism is coming. Go this way?
Cyavana,Is it this way? We can go this way. This way. Or better this way. Now he's coming the other way.,Prabhupāda," [break] ...create another danger. Just like airplane. It is comfortable. You can quickly go from one place to another. But as soon as on the plane, immediately your life is at risk. There is no certainty. So this is the way of material world. You create some comfort and you create some greater danger also. Side by side. It cannot be unhampered comfort. That is not possible. You create a motorcar—the same thing—you drive very speedy and you meet accident. Railway, the accident. There was no need. You produce your food locally and produce your milk. Then eat, drink, and live comfortably. ChantHareKṛṣṇa. That is wanted. Make your life successful.Yaduttama-śloka-guṇānuvarṇanam[SB1.5.22].And if you have got education, then describe the glories of the Lord by your scientific and educational qualification. [break] The rain is coming. We can go this way.Yaduttama-śloka-guṇānuvarṇanam[SB1.5.22].[break]"
Brahmānanda,"In theBiblethere are so many things that were... about the world that were mistakes, and then, by their scientific knowledge, they found the real fact. Like they say the earth was flat...",Prabhupāda," Biblemay be wrong, but we are talking generally. So if you are scientist, you can say the right thing. But why should you deny God?"
Brahmānanda,"Well, if the book of God has made mistake, then we don't have any faith...",Prabhupāda," Book of God... Then throw it. Kick it out. But I say that you are scientist. How you can deny God? That is our propaganda. The so-called book of God, you throw away. But you are scientist. How can you deny the existence of God? Why you are misleading?Biblemisleading, that's all right. Why you are misleading? That is our point."
Cyavana,For so many centuries they took theBibleto be the authority.,Prabhupāda," All right, throw it away. You are scientist."
Cyavana,They won't.,Prabhupāda," You are a scientist. How you can deny God? Then what kind of scientist you are? TheBiblehas done wrong. Throw it away. I have no objection. But you are scientist. How you can deny God? And that is our point. Come to this logic, that ""How we can deny God?"" You are speaking that from chemical combination life is formed. Do it in the laboratory. You cannot do it. Why you are propagating false propaganda? What kind of scientist? Then you are also to be kicked out. IfBibleis to be kicked out you are also to be kicked out. Why you are claiming your position? You prove first of all. You combine chemical and produce a life. And you are making false propaganda, so you are to be kicked out. They say, ""We shall do in future."" And what is the future? Then why you are at present making false propaganda. Wait for the future. Post-dated check. ""In future I shall pay."" Who will accept this check? Any nonsense will accept."
Brahmānanda,But this world is so imperfect...,Prabhupāda, The world is not imperfect; you are imperfect rascal. You are rascal; you are imperfect. World is not imperfect.
Brahmānanda,"Well, they have these cyclones. They come...",Prabhupāda," Yes. Yes. Must come because you are to be killed. You are rascal; you are to be killed. Therefore God has created cyclone. You protect yourself if you are scientist, if you have got power."
Cyavana,Because they are anxious for some...,Prabhupāda," Because God has created cyclone, therefore He is perfect because you are to be killed, blown away with your all paraphernalia, with your all scientific laboratory and instrument. Go. Go to hell. That is perfection."
Cyavana,They are eager to find a solution. Therefore they are forced to speculate because they have no other way...,Prabhupāda, No other way.
Cyavana,"They have no other way to learn, unless they will acceptVeda,which they won't accept. [break] ...sense gratification. They enjoy making so many theories.",Prabhupāda," Yes. Yes.Mano-ratha:""Chariot of mind."""
Cyavana,Yes.,Prabhupāda," Mano-rathenāsati dhāvatobahiḥ.By his chariot of the mind he will be driven to this material consciousness. [break] ...spiritual knowledge. Therefore, we see, big, big scientists, they are thinking that combination of matter can produce life. In spite of so much advanced learning, they do not know what is life. They cannot create life; still, they will theorize. How foolish they are. And as soon as you catch his throat, ""Produce life."" ""No, we shall do it in future."" Just see."
PuṣṭaKṛṣṇa,"Sometimes people ask that ""If God is so great, then why doesn't He just come and destroy all the evil?""",Prabhupāda, Because you have to suffer. You are rascal. You must suffer. Therefore evil must be there.
Brahmānanda,Why doesn't He force us to be good?,Prabhupāda," Just like if the criminals and thieves say, ""Why government has created this prisonhouse?"" Is it very good argument? It is for you, rascal. You are criminal. You must suffer. Why it is to be abolished? Otherwise who will suffer? It is for your suffering."
Brahmānanda,Why are we evil? Why doesn't God makes us good?,Prabhupāda, Hm?
Brahmānanda,Why are we evil?,Prabhupāda," No, God says that ""You become devotee of Me."" You do not become. That is your fault. Therefore you must... Just like government does not say that you become criminal. Government says, ""You become educated. You become high-court judge, become big officer."" Why you become criminal, pickpocket? Does government give any education for becoming pickpocket? Hm? Is there any institution how to steal, how to become pickpocket? (laughter) Then why do you become? Just see. [break] ...eatables you can collect, and I shall show you how to cook in the cooker. One boy. You also see, because nobody will go there."
PuṣṭaKṛṣṇa,Harikeśais getting hisvisatoday.,Prabhupāda, So we can return. [break] Whole educational system is defective because there is no spiritual education. That has made everything impossible.
PuṣṭaKṛṣṇa,"One young boy in Johannesburg wanted to join us. He is sixteen years old. So his headmaster said, ""What you will do without an education?"" They think that this is the greatest ignorance. These are the leaders of education, the headmaster. [break]",Prabhupāda," ...spiritual education, he remains an animal. That's all. [break] That isVedānta-sūtra,athātobrahmajijñāsā.To find out the ultimate goal, that is education.Janmādyasyayataḥ[SB1.1.1],""Wherefrom everything is coming,"" that is education."
PuṣṭaKṛṣṇa,"But they may say, ""That is not practical, because we will starve to death with such knowledge.""",Prabhupāda," Then... Then you are useless. Because you cannot go to the ultimate point of education, therefore your education is useless."
PuṣṭaKṛṣṇa,"But then they will ask, ""You will come and bring me food?""",Prabhupāda," Yes, I will give you food. Food is there. You are not creating food. It is... From the earth it is grown."
Brahmānanda,But we have to work very hard; otherwise we won't get money for buying food.,Prabhupāda, No. You work a very slight three months in a year and get all food. Food is there; milk is there; land is there. You have to work.
PuṣṭaKṛṣṇa,Is it possible to take the mass of crowlike people and give them the higher taste?,Prabhupāda, Hm?
PuṣṭaKṛṣṇa,Is it possible to take a mass of crowlike people and elevate them?,Prabhupāda," Yes. Human beings, after all, they are. They can be educated. That is the opportunity of human life, that he can be educated. The cats and dogs cannot. [break]"
PuṣṭaKṛṣṇa; Cyavana,Wake up in the morning and get drunk.; They're watching. [break],Prabhupāda," ...prominent. Red, yellow, and blue."
Indian man (1); Cyavana,Blue.; Violet is there.,Prabhupāda," No. The mix, you make a hundred color, but three colors are prominent. Then you mix. You mix the green and yellow..., er, blue and yellow; it become green. You mix the red and yellow; it will become orange. You mix the blue and red; it become violet. Like that. Originally three colors."
Brahmānanda,They say from those three colors they can make actually thousands of different colors.,Prabhupāda," Therefore three modes of material nature by mixture-8,400,000's of species of life, by different mixture. And when you come to the original color, then thebrāhmaṇa,kṣatriya,vaiśya...And then you transcend the color; you come to the spiritual life. [break]"
