Question Speaker,Question Text,Answer Speaker,Answer Text
Jayapatākā,"Bhārata - bhūmite haila manuṣya - janma jāra . Those people who are born on the sacred land of Bhāratavarṣa, they should perfect their life, janma sārthaka kari', and help others. Purpose of Kṛṣṇa consciousness is to perfect one's own spiritual knowledge and then to go and help other people. So people that are born here in Bhāratavarṣa have a special facility because of the Vedic culture, Aryan culture, to perfect their lives. And just as Śrīla Prabhupāda has gone all over the world spreading the Kṛṣṇa consciousness—one person from this Bhāratavarṣa has been able to do so much—if other pure devotees would come and preach as Śrīla Prabhupāda has done, then how many unlimited amount of fallen souls could receive the benefit of Kṛṣṇa consciousness. [break]",Prabhupāda," ...in so-called transcendental meditation, go to the Himalaya and go to the forest. We are not interested in all this nonsense. Our only business is to spread Bhagavad- gītā As It Is, door to door, town to town, city to city. We are not going to seclusion. Prahlāda Mahārāja said, ""This is professional bluff: 'I am going to the Himalaya . I am going to the forest.' "" Prahlāda Mahārāja condemns that ""These are professional bluffs."" Or they may be sincere, but still, they are trying for their own salvation. Prahlāda Mahārāja said, ""I am not interested in that sal... I am interested for everyone's salvation. Everyone must go back to home, back to..."" That is Vaiṣṇava , not that ""For my own salvation I go to Himalaya or in the forest and transcendental meditation, nonsense..."" We are not interested in those things. (laughs) And our men... Just like that Gaurasundara. He is doing all nonsense, transcendental meditation. Is it not?"
Sudāmā,Yes.,Prabhupāda," Rascal. He is doing transcendental meditation. He got so much opportunity to spread Kṛṣṇa consciousness. He did it in the beginning very nicely. A rascal, he became victim. These things are for ajitendriyāṇām. Those who are not able to control the senses, they make this business, transcendental meditation, and secretly doing all nonsense. The whole thing, this transcendental meditation, that, what is that, Maharishi Yogi , they are doing all nonsense and advertising, ""We are transcendental meditation."""
Hari-śauri,"Hari - śauri : They openly advertise that ""If you do transcendental meditation, then you can do your business better, you can have better sex life.""",Prabhupāda," And that's all. So you can do your sense gratification process, yan maithunādi- gṛhamedhi tuccham , what is condemned by Prahlāda Mahārāja , that ""This kind of happiness is most abominable and insignificant."" Tuccham . Tuccham means very insignificant. Kaṇḍūyanena karayor iva duḥkha - duḥkham . It is just like itching between the two hand, and after-result is misery. That's all. Iva duḥkha - duḥkham . Tṛpyanti neha kṛpaṇā bahu - duḥkha - bhājaḥ [SB 7.9.45 ] . They know it, that after this enjoyment of itching sensation there will be so much trouble. But neha tṛpyanti : they are not satisfied. Again and again. Bahu - duḥkha - bhājaḥ . Begetting one child... Just see. It is going on. (children in background) No shame. That is animal. No shame. In Western countries they are learning... I have seen. In Los Angeles beach they are having sex open. Just like these birds or beasts. Tṛpyanti neha kṛpaṇā bahu - duḥkha - bhājaḥ . They are trying to make birth control. Why? Bahu - duḥkha - bhājaḥ . That illicit or legal sex, the after-result is very miserable."
Jayapatākā,"It seems that as a country, India's got the best chances for becoming fully Kṛṣṇa conscious again.",Prabhupāda, Yes. Everywhere chance. Kṛṣṇa does not say for India.
Jayapatākā,But first.,Prabhupāda," No. That is not... You are making better progress, Western countries. Kṛṣṇa is not limited anywhere. But in India they have got the facilities. But they are becoming rascals, so they are not taking the facility. The facility is there. That is everywhere, especially in India. You see everywhere, every day, the sunrise, so beautiful. In Western country, some places, sometimes. But here you'll find every day. That is the facility. This is Gāyatrī mantra . Oṁ bhūr bhuvaḥ svaḥ tat savitur vareṇyaṁ bhargo devasya dhīmahi . This facility is in here. You get sufficient sunlight, and in sunlight you keep very healthy and happy. That facility is here."
Bhavānanda,"Bhavānanda : Also, Śrīla Prabhupāda, last night you were saying, ""The sun is moving."" We can see the sun has just come up and is moving across the sky. So what do they base their statement that the sun is stationary? They have no basis in fact.",Prabhupāda," Therefore rascals. They see one thing and speak another. That is rascal. Yac-cakṣur eṣa savitā sakala - grahāṇāṁ rājā samasta ... Huh ? Yac-cakṣur eṣa savitā sakala - grahāṇāṁ rājā samasta - sura -mūrtir aśeṣa - tejāḥ . Aśeṣa - tejāḥ . The... aśeṣa - tejāḥ , unlimited temperature and light. They are studied. This is aśeṣa - tejāḥ . If they have studied the quality of the sun, how they can say something wrong about the movements? That is also right. Yasyājñayā bhramati saṁbhṛta - kāla -cakro govindam ādi - puruṣaṁ tam ahaṁ bhajāmi . This is statement. Bhramati . It is never discussed, sthira . Fixed up means sthira . Bhramati saṁbhṛta - kāla - cakraḥ . And that is also... That movement is also within the time limit fixed up by Kṛṣṇa : ""Morning, half past six, you get up."" ""Yes."" You cannot stop it. Kṛṣṇa's ājñā . It is order of Kṛṣṇa . You stop it, you scientists. You make it conveniently. Not half past six, make it eight. Can you do this? You rascal, you are claiming scientist. Yasyājñayā. It is only by His order you can... You ask him to rise from this side. Why from this side? Is there any scientist can change? Then why they are claiming that there is no God? Huh ? What is the answer? Hm? Yasyājñayā. There is some arrangement. What is their answer? Hm? Jagadīśa Prabhu ? What is the answer?"
Jagadīśa,Jagadīśa : There is no... We don't see how God is working. We don't see...,Prabhupāda," Are you blind? God is working. Yasyājñayā bhramati . Yasya , by His order he is rising. Why don't you see God? It is not your order or your scientist order. Somebody's order. That is God."
Jagadīśa,Jagadīśa : But there doesn't seem to be any meaning. There doesn't seem to be any meaning.,Prabhupāda, What is the meaning?
Jagadīśa,Jagadīśa : There is no meaning.,Prabhupāda, What is the meaning?
Jagadīśa,Jagadīśa : It's just evolution. There's no meaning. What's the meaning?,Prabhupāda," I do not follow what is the meaning. The sun is rising half past six, exactly at the time. So there is no meaning?"
Jagadīśa,Jagadīśa : We can't tell what the meaning is.,Prabhupāda," That is... Because you are rascal, you do not know. You learn it. One who knows the meaning. Tad -vijñānārthaṁ sa gurum evābhigacchet [MU 1.2.12] . You are fool, rascal. How can you know the meaning? You must have to go to the real person."
Jagadīśa,Jagadīśa : Who knows?,Prabhupāda," Guru . Therefore we go to guru . Tasmād guruṁ prapadyeta jijñāsuḥ śreya uttamam [SB 11.3.21] . One who is actually serious about inquiring, he must go. Guruṁ prapadyeta . Must surrender to guru ."
Śāstrījī,Śābde pare ca niṣṇātam .,Prabhupāda," Ah. That is... Therefore there is guru . Ādau gurvāśrayam. If you know, want to know, first of all take shelter of guru . That is the injunction."
Bhavānanda,"Bhavānanda : Then we will ask, how do we know who is really guru ?",Prabhupāda," That is another rascaldom. You see how others are taking guru , paramparā system. You are rascal. You will place so many questions. But the answers are already there. Evaṁ paramparā - prāptam [Bg. 4.2 ] . Guru is he who knows Kṛṣṇa , who explains Kṛṣṇa . That is guru . Otherwise he's not guru ."
